huc_6,n,huc_pca_ratio,pca_huc_ratio
41201,p122,0.170017991,0.014742641
41201,p127,0.808637512,0.050047396
41201,p111,0.021344496,0.007698977
150701,p28,1,0.103639549
10700,p130,0.759476373,0.41017135
10700,p131,0.240523627,0.148236565
101701,p40,0.302967523,0.034763873
101701,p38,0.697032085,0.05975633
111402,p58,0.714839349,0.138066687
111402,p86,0.034127992,0.038204933
102300,p40,0.044492433,0.008207997
102300,p68,0.021912898,0.024408146
102300,p41,0.097948714,0.130901771
102300,p44,0.012437288,0.015211437
180902,p12,0.107879265,0.025170592
180902,p10,0.892120735,0.328177067
102702,p40,0.737243071,0.141335941
102702,p53,0.251053747,0.039598199
102702,p41,0.011703182,0.016253302
90203,p37,0.338967254,0.147039343
90203,p42,0.659288684,0.518678009
70802,p45,0.185462683,0.107866137
30501,p95,0.354721911,0.681514453
30501,p97,0.312107922,0.243065509
30501,p96,0.333170166,0.223322092
120301,p63,1,0.215646974
50701,p117,1,0.237866099
70200,p44,0.296451229,0.658408818
70200,p45,0.020625071,0.016155907
70200,p43,0.310284975,0.110750348
80301,p85,0.316122261,0.004888844
31602,p90,0.515549303,0.105247545
31602,p88,0.061023443,0.029147818
31602,p87,0.042742371,0.00739862
31602,p89,0.380684881,0.104837607
180102,p9,0.237123071,0.050548163
180102,p8,0.401744944,0.412729708
180102,p6,0.329506109,0.273627451
180102,p7,0.031625876,0.015699939
20403,p124,0.095629589,0.43384856
20403,p126,0.721366625,0.254086064
90202,p37,1,0.295375316
40101,p43,1,0.04621839
20501,p119,0.004027049,0.010534511
20501,p122,0.441796141,0.147581399
20501,p127,0.55417681,0.132131159
170800,p2,0.778654055,0.180329824
170800,p1,0.010756544,0.00374266
51201,p83,0.334545711,0.516693718
51201,p105,0.501275727,0.536824337
51201,p112,0.015958833,0.012050348
51201,p107,0.063661062,0.082527792
160300,p12,0.006566475,0.001055747
160300,p25,0.993433525,0.228493348
160503,p12,0.768588674,0.0295909
160503,p10,0.231236424,0.014036201
160503,p9,0.000174903,9.38E-06
130302,p31,1,0.061940843
31502,p90,0.644589863,0.17155887
31502,p89,0.355410137,0.127605447
90201,p37,0.368436619,0.117234435
90201,p42,0.30651518,0.176884915
90201,p36,0.000604028,0.000215762
90201,p38,0.046753395,0.008185062
90201,p43,0.277690778,0.06932768
120200,p66,0.551937008,0.41289445
120200,p63,0.448062992,0.082425155
102002,p40,0.272949095,0.016291616
102002,p41,0.727050905,0.314371415
111403,p57,0.522276001,0.661299078
111403,p58,0.078145493,0.014388365
100401,p19,0.315835304,0.44609408
150601,p29,0.146776799,0.088970972
121004,p64,0.002464597,0.000404116
70900,p77,0.073865771,0.109751605
70900,p78,0.213193118,0.913091382
31101,p94,0.060110794,0.003761132
31101,p101,0.939889206,0.085021967
180500,p9,0.999999999,0.058770867
40301,p76,0.044625791,0.05466785
40301,p79,0.03742687,0.119923354
40301,p103,0.007208339,0.002022782
40301,p74,0.46257261,0.467705541
40301,p75,0.448166391,0.438845957
130900,p65,0.999999999,0.029432875
150200,p28,0.575857306,0.197749659
20402,p125,0.166896223,0.499266797
20402,p126,0.333300249,0.265951405
102600,p34,0.048918501,0.017231705
30702,p101,0.224516932,0.033811562
102901,p73,0.005694378,0.016410903
150100,p28,0.226456839,0.08700239
102600,p40,3.50E-06,1.37E-06
102600,p53,0.560611559,0.180883258
102600,p52,0.390466443,0.37803328
51402,p81,0.368379458,0.090564995
51402,p108,0.309105198,0.36365216
51402,p93,0.090064,0.059625872
51402,p107,0.232451344,0.094729769
31300,p90,0.140541182,0.095419341
31300,p94,0.717823063,0.245751035
31300,p101,0.055546696,0.027493155
30702,p94,0.775483068,0.080779292
31501,p94,0.355803907,0.089775413
10801,p134,1.43E-06,2.70E-07
10801,p129,0.584353153,0.373480494
10801,p130,0.415645421,0.27568304
80101,p92,0.540914024,0.0140847
160202,p25,0.843358973,0.044833693
80101,p81,5.13E-06,2.12E-07
70400,p75,0.000186634,0.000161962
111401,p85,0.09698331,0.031478614
111401,p56,0.082453927,0.072649018
111401,p50,0.6427643,0.154714318
111401,p57,0.025714851,0.055958485
111401,p63,0.152083611,0.035122866
41503,p127,1,0.118592913
20401,p122,0.50374449,0.102389757
20401,p127,0.348421959,0.05054741
20401,p126,0.147833551,0.1347977
10500,p134,0.999999998,0.166797046
51401,p108,0.039700529,0.043530852
51401,p109,0.642758847,0.189012214
50200,p115,0.300914457,0.37486672
100401,p35,0.066223175,0.038508833
180101,p9,0.990158599,0.124270493
180101,p8,8.51E-06,5.15E-06
180101,p6,0.009832892,0.004807388
111402,p85,0.247504648,0.049033268
51301,p118,3.70E-05,3.29E-05
51301,p92,0.515389085,0.130705741
130201,p34,0.038004059,0.004311181
130201,p31,0.961995941,0.061575322
160202,p26,0.156641027,0.044961824
111303,p48,0.056416714,0.01284884
111303,p50,0.943583286,0.142615073
31601,p90,0.046128742,0.023910237
31601,p88,0.354130845,0.429480648
31601,p89,0.599740413,0.419358338
101301,p37,0.197045736,0.085863607
101301,p36,0.399035814,0.195200193
101301,p38,0.40391845,0.096839419
30801,p102,0.103140764,0.119166593
30801,p101,0.896859236,0.209511816
60101,p118,0.148603276,0.109849756
60101,p95,6.34E-06,7.05E-06
60101,p92,0.51034968,0.107754306
60101,p97,0.341040704,0.153657137
60200,p94,0.278400191,0.024421378
60200,p97,0.124775375,0.032605032
100902,p21,0.005210158,0.001410767
70101,p42,0.107754584,0.060487625
70101,p43,0.892245416,0.216681336
102901,p72,0.090644493,0.088317373
51001,p110,0.000108252,9.24E-05
101800,p33,0.064877877,0.042378627
101800,p21,0.059341054,0.037273745
101800,p39,0.199856076,0.317280854
111403,p63,0.362454604,0.048705395
102400,p40,0.006483312,0.001737275
111201,p50,0.001564003,0.000232343
50200,p121,0.056576272,0.187931561
50200,p116,0.571822578,0.245694599
100200,p18,0.153125996,0.041716612
100200,p16,0.000224158,0.00014614
100200,p15,7.63E-05,1.97E-05
100200,p21,0.049173127,0.013951653
100200,p17,0.797400388,0.300762983
171100,p2,0.197473307,0.107883582
171100,p1,0.802515989,0.658696299
171100,p3,1.07E-05,6.99E-06
10600,p134,0.594298769,0.076253479
60200,p89,0.010404305,0.002441621
102901,p53,0.286053022,0.069696163
101303,p32,0.067612442,0.078446371
101303,p36,0.085692448,0.027341812
101303,p38,0.846695109,0.132404245
102001,p40,0.999818552,0.101858848
50800,p107,0.243875256,0.081785071
130600,p61,0.003031872,0.001425126
80101,p87,0.004983837,0.000156319
120702,p64,0.207796727,0.056648466
181001,p10,1,0.136426982
160501,p12,0.831670893,0.038725426
160501,p9,0.168329107,0.010913108
111403,p85,0.037123902,0.007011132
41505,p134,6.54E-05,1.19E-06
41505,p129,0.999119767,0.06132601
41505,p130,0.000814856,5.19E-05
60300,p90,0.004861484,0.001698485
60300,p88,0.036997866,0.030243854
60300,p92,0.308442554,0.075855606
10600,p130,0.403756263,0.181562878
101102,p32,0.000624919,0.000649207
80101,p84,0.116396813,0.010168933
80101,p72,0.033698223,0.002396285
80101,p93,0.172150866,0.019176501
60300,p94,0.001195701,0.00021065
60300,p89,0.648502394,0.305642796
10100,p134,1,0.224399911
121102,p65,0.999999999,0.261417062
41506,p134,0.999999643,3.03E-05
50200,p122,0.070686693,0.015404617
10600,p131,0.001944967,0.000998083
130700,p62,0.219778923,0.424559113
130700,p47,0.089862717,0.086577849
130700,p61,0.69035836,0.284463083
110300,p34,0.020246613,0.007355704
110300,p53,0.734323514,0.244365842
110300,p52,0.245429873,0.245070187
71300,p81,0.496970403,0.335280861
71300,p80,0.089144281,0.126102958
71300,p83,0.205692478,0.274054836
71300,p82,0.208192839,1
100401,p20,0.331180685,0.190522255
150100,p25,0.115192782,0.048681056
150100,p13,0.157944031,0.59094913
150100,p27,0.279036081,0.626974843
150503,p28,0.278722556,0.028930678
150503,p30,0.721277444,0.573341102
60200,p92,0.586420129,0.071809993
110800,p48,0.000442926,0.000158865
101401,p40,0.000151467,3.03E-05
102801,p54,0.780209308,0.374695355
102801,p71,1.41E-05,1.94E-05
102801,p70,0.219473917,0.063963183
30502,p96,1,0.331279011
80201,p85,0.453730618,0.00693938
80201,p87,0.546269382,0.009280278
51002,p118,5.61E-06,3.25E-06
51002,p110,0.253224977,0.406082907
51002,p109,0.74676941,0.251649245
160502,p12,0.885611846,0.034253046
160502,p10,6.54E-05,3.99E-06
160502,p9,0.114322774,0.006156488
140200,p34,0.905173204,0.128542382
140200,p33,0.094826796,0.016002028
40103,p46,0.881929235,0.139429324
40103,p74,0.030853262,0.008143061
40103,p43,0.087217502,0.005801426
100401,p18,0.286760835,0.077903333
101102,p20,0.000690322,0.000269997
50800,p113,0.293662326,0.462848911
170603,p15,0.835947648,0.144465314
102001,p41,0.000181448,0.000133914
170701,p2,0.478315467,0.213887741
170701,p5,0.521684533,0.126274733
31501,p90,0.577865305,0.289153322
31501,p92,0.008640132,0.003043284
70500,p77,0.001384668,0.001797411
70500,p74,3.90E-05,3.10E-05
70500,p75,0.044793424,0.034451686
150100,p12,0.221370267,0.065395336
102801,p45,0.000302633,0.000109935
50302,p117,0.019952824,0.019034606
50302,p112,0.411047466,0.100796733
50302,p116,0.568999709,0.223313193
31800,p88,0.133637924,0.091536328
31800,p58,0.103625491,0.022576395
31800,p87,0.762736585,0.189330737
20200,p129,0.035844807,0.047223113
20200,p127,0.931616961,0.248830243
20200,p126,0.016458426,0.027629317
20200,p131,0.016079807,0.025087089
50702,p118,0.23271327,0.08299557
50702,p110,0.456029102,0.450712447
50702,p109,0.076119151,0.015808908
50702,p117,0.235138476,0.142929668
181002,p10,0.823246352,0.090763611
181002,p11,0.176753648,0.298936373
140402,p24,0.21053052,0.025611258
140402,p21,0.78946948,0.06129667
11000,p127,0.061162824,0.005858989
11000,p132,0.760539006,0.694386047
11000,p131,0.164844731,0.092238847
11000,p133,0.013453438,0.0561261
31102,p94,0.566957933,0.094483531
101701,p45,3.92E-07,1.05E-07
180800,p12,0.186103746,0.008267069
180800,p9,0.014484852,0.000895891
180800,p8,0.799411402,0.23828409
101000,p18,0.050543074,0.013627162
101000,p36,0.05330996,0.022232401
101000,p19,0.01202334,0.016853825
101000,p35,0.535491866,0.309037225
101000,p20,0.348631761,0.199046811
100902,p24,0.136033801,0.057711938
100902,p35,0.143539578,0.079882673
100902,p23,0.20428048,0.271663406
100902,p20,0.158609858,0.087325576
100902,p22,0.352326125,0.70418532
111402,p56,0.000121246,6.52E-05
80204,p85,1,0.04281493
150602,p28,1,0.084129601
41000,p103,0.173046199,0.04753799
41000,p111,0.197863641,0.289072484
41000,p105,0.108000052,0.066271726
41000,p112,0.521090108,0.225455108
41504,p129,0.603519674,0.482403644
41504,p127,0.396480326,0.064250749
171002,p6,0.021262782,0.004820165
171002,p5,0.978737218,0.09022745
120601,p60,0.517805223,0.201735734
120601,p61,0.126443589,0.020951762
120601,p63,0.355751188,0.054030927
10900,p132,0.013375598,0.011517304
10900,p131,0.749176638,0.395349485
10900,p133,0.237447762,0.93423861
30102,p99,0.549696346,0.163813647
30102,p98,0.450303653,0.115438117
102902,p73,0.244386214,0.167507983
102902,p55,0.046726597,0.011676173
102902,p84,0.531159085,0.15121842
102902,p72,0.177728104,0.041184466
30202,p98,0.999999999,0.190969883
170103,p15,0.343285158,0.041597328
170103,p3,0.342675308,0.107305325
170103,p14,0.313946793,0.268102618
170103,p17,9.27E-05,1.64E-05
130202,p31,1,0.206664836
70600,p69,0.378951226,0.434673567
70600,p68,0.046638278,0.047660449
70600,p80,0.099666188,0.067694338
70600,p46,0.008007263,0.003431946
70600,p77,0.1898861,0.222076015
70600,p70,0.276850944,0.087900661
50400,p111,0.107157626,0.10601451
50400,p112,0.892842374,0.261591432
50800,p112,0.320690786,0.062641894
102400,p53,0.108942756,0.024017996
111402,p57,0.003406765,0.004524942
102300,p38,2.61E-07,3.60E-08
102300,p45,0.823208405,0.355097694
80702,p58,0.777922887,0.093535919
80702,p87,0.222077113,0.030423153
80302,p88,0.271804349,0.288330084
80302,p92,3.21E-05,1.02E-05
140802,p29,0.35231826,0.327205749
140802,p25,0.413994394,0.060217642
160201,p25,0.348131379,0.012077833
160201,p26,0.648898523,0.12155393
51001,p109,0.999891748,0.179257011
102901,p55,0.454475477,0.477500927
102901,p84,0.103120716,0.123439284
102901,p54,0.060011914,0.054937322
160201,p21,0.002970097,0.000149208
170200,p4,0.208451921,1
170200,p2,0.016446957,0.014557691
170200,p1,0.152679912,0.203036164
170200,p3,0.62242121,0.658971951
110901,p47,0.060470338,0.028627011
110901,p48,0.7357308,0.214432759
110901,p50,4.03E-05,7.79E-06
110901,p31,0.203460177,0.020586282
110901,p49,0.000298417,0.000529964
50800,p105,0.021696892,0.00601081
50800,p114,0.12007474,0.28730808
170603,p3,0.000541859,0.000241991
170603,p14,0.163467303,0.199090254
170603,p17,4.32E-05,1.09E-05
160102,p16,0.533690943,0.116171693
160102,p25,0.409035801,0.026759571
160102,p26,0.057273256,0.02023094
51302,p92,0.717970147,0.123060814
51302,p108,0.033194405,0.043252922
51302,p93,0.248835448,0.18245949
51100,p92,0.044577698,0.00976771
51100,p108,0.329918031,0.549564067
51100,p109,0.336890721,0.150501998
51100,p93,0.28861355,0.270540721
120903,p64,0.855484677,0.088694925
120903,p65,0.144515323,0.010434214
10300,p134,1,0.181500444
100600,p36,0.060300678,0.019621228
100600,p19,0.095984151,0.104978136
100600,p35,0.843715171,0.379909151
150601,p28,0.853223201,0.073639038
90203,p43,0.001744062,0.000593595
