huc_8,n,huc_pca_ratio,pca_huc_ratio
2040202,p126,0.644556441,0.098352997
2040203,p122,1,0.056492098
2040204,p125,0.999875291,0.010663965
2040204,p126,0.000124708,3.55E-07
2040205,p122,0.532831779,0.011779934
2040205,p125,0.456231288,0.169637
2040206,p125,0.00841471,0.004261211
2040206,p126,0.991585289,0.13393818
2040207,p125,0.999999999,0.310242374
2040301,p126,0.999999998,0.170577353
2040302,p126,0.999999997,0.083508711
2040303,p123,0.343337694,0.023642934
2040303,p125,0.545520393,0.146421057
2040303,p124,0.111141906,0.102487743
3020105,p98,0.999999994,0.014786972
3020201,p98,1,0.081247477
3020202,p98,1,0.035966721
3020203,p98,1,0.034055301
3020204,p98,0.999999997,0.039700384
3020301,p98,0.999999996,0.02032134
3020302,p98,0.999999996,0.019088049
3030002,p97,0.3557161,0.030756308
3030002,p98,0.6442839,0.037148247
3030003,p97,0.404778553,0.029721523
3030003,p98,0.595221447,0.029144895
3030004,p98,1,0.055037401
3030005,p98,1,0.034894692
3030006,p98,1,0.053145745
3030007,p98,1,0.058797074
3040101,p118,0.048297885,0.009849339
3040101,p97,0.951702115,0.118292118
3040102,p97,1,0.045901541
3040103,p97,0.919751274,0.055412557
3040103,p98,0.080248726,0.003224084
3040104,p97,0.452168462,0.019897159
3040104,p98,0.539883982,0.015842423
3160202,p87,0.227779453,0.006341642
3160202,p89,0.392816737,0.017399488
3160203,p90,0.973345192,0.053025079
3160203,p89,0.026654808,0.001958843
3160204,p90,1,0.030315028
3160205,p90,0.999999999,0.016378118
3170001,p88,0.168112596,0.012038141
3170001,p87,0.831887404,0.021587707
3170002,p90,0.027306934,0.001331133
3170002,p87,0.954865577,0.039467643
3170002,p89,0.01782749,0.001172326
3090103,p101,1,0.019778379
4150500,p129,0.999119767,0.06132601
4150500,p130,0.000814856,5.19E-05
4150600,p134,0.999999643,3.03E-05
5010001,p119,0.118785614,0.071215828
5010001,p122,0.476703528,0.036495834
5010001,p127,0.404510858,0.022104073
5010002,p122,0.150322226,0.003993661
5010002,p127,0.849677774,0.016111998
5090102,p117,1,0.062630823
5090103,p110,0.209077707,0.048506803
5090103,p109,0.221703501,0.010808574
5090103,p117,3.13E-06,4.46E-07
5090103,p112,0.569215663,0.020877497
5090104,p110,0.497187293,0.082899479
5090104,p109,0.502812707,0.017617285
5090201,p110,7.31E-05,3.53E-05
5090201,p109,0.368799789,0.03746686
5090201,p114,0.258163562,0.241699129
5090201,p112,0.372963568,0.028505507
5090202,p114,0.477552285,0.374266258
5090202,p112,0.037447475,0.002395877
5090202,p113,0.48500024,0.250378209
5090203,p109,0.275179243,0.018777029
5090203,p114,0.15381933,0.096726533
5090203,p107,0.571001427,0.050324795
5100101,p110,0.000144377,9.24E-05
7040004,p43,1,0.029840033
7040005,p46,0.717241864,0.026089979
7040005,p77,0.282758136,0.028065663
7040006,p46,0.4479498,0.015529164
7040006,p77,0.415892816,0.039341619
7040007,p76,0.054568914,0.012528785
7040007,p46,0.601147858,0.068237838
7040007,p77,0.343400713,0.106364631
7040008,p68,0.781168979,0.154595415
7040008,p43,0.21613674,0.007547998
7050002,p75,0.314911848,0.029909959
7050003,p46,0.923828895,0.034070292
7050003,p75,0.076171105,0.004541727
7050004,p46,1,0.042617277
7050005,p46,1,0.102735508
7080208,p70,0.99731459,0.061068459
7080209,p70,1,0.062285202
7090001,p76,0.649103829,0.123958446
7090001,p79,0.29544873,0.147576862
7090001,p78,0.05544744,0.041176484
7090002,p76,0.016296497,0.003010854
7090002,p79,0.333768982,0.161293031
7090002,p78,0.643993283,0.46268198
7090003,p80,0.39155753,0.058187889
7090003,p77,0.428913664,0.109751605
7090003,p78,0.179528807,0.132418468
7120004,p80,0.907292289,0.104376512
7120005,p80,0.990282877,0.078770261
7120006,p79,0.599777121,0.244379732
7120006,p80,0.400222879,0.048846272
7120007,p80,1,0.087190262
7130001,p81,0.364068098,0.026896208
7130001,p80,0.251499873,0.038958278
7130001,p82,0.384432029,0.202201311
7130002,p80,0.816703809,0.08605775
7130002,p83,0.160782992,0.015957056
7130003,p81,0.607410305,0.037154671
10070003,p18,1,0.016583066
10070004,p18,0.745122109,0.022725295
10070004,p20,0.254877891,0.016461096
10070005,p18,1,0.020702317
10070006,p18,0.525384575,0.028480663
11030002,p52,0.745282326,0.0528262
11030003,p53,0.638356945,0.010540754
11030003,p52,0.361643055,0.017918359
11030004,p53,1,0.030366556
11030005,p53,0.566781849,0.016421105
11030005,p52,0.433218151,0.037661975
11030006,p53,0.999999994,0.014721554
11030006,p52,6.19E-09,2.73E-10
11030007,p53,0.401556074,0.006038281
11030007,p52,0.598443926,0.027002287
11030008,p53,1,0.013110719
11030009,p53,1,0.020188084
11030010,p53,1,0.010351811
11040002,p52,0.290971638,0.023341341
11040002,p49,0.398363066,0.11514746
11040003,p34,0.414432889,0.007265167
11040003,p52,0.585567111,0.028213648
11080007,p31,0.997040663,0.021160111
11080008,p47,1,0.037641354
11090101,p47,0.326157881,0.028192585
11090101,p48,0.620820439,0.033037837
11090101,p31,0.053021681,0.000979547
11110201,p56,1,0.089829247
11110202,p85,0.299925516,0.014394101
11110202,p56,0.700074484,0.09120427
11110203,p85,0.925102504,0.027126716
11110203,p56,0.074897496,0.00596176
11110204,p85,0.488164732,0.013805857
11110204,p56,0.511835268,0.039294066
11110205,p85,0.731675098,0.014257174
11110205,p56,0.268324902,0.014193057
11110206,p85,0.64922248,0.018621951
11110206,p56,0.35077752,0.027312609
11110207,p85,1,0.028995589
11120101,p47,0.330419977,0.029579113
11120102,p48,0.959206253,0.027565498
11120103,p48,0.791480392,0.049002416
11120103,p60,0.208519608,0.021086397
11130103,p60,0.760057887,0.053294064
11130208,p50,1,0.016486836
12070204,p63,0.959475482,0.017624929
12070205,p64,0.873353567,0.042644849
12070205,p63,0.126646433,0.003169118
12080001,p47,0.290455732,0.024289408
12080001,p48,0.709544268,0.036530453
12080002,p62,2.68E-05,7.33E-06
12080002,p48,0.082982004,0.006974707
12080002,p60,0.916991219,0.125888293
12080003,p62,0.080431137,0.018144145
12080003,p47,0.524882508,0.059054028
12080003,p48,0.394686354,0.027338716
12080004,p62,0.458752744,0.133434405
12080004,p47,0.181693812,0.026357512
12080004,p48,0.306771814,0.027397965
12080004,p60,0.05278163,0.007699523
12080005,p62,1,0.18531312
12080007,p62,0.000195518,1.11E-05
12080007,p60,0.837728033,0.023939359
12080008,p60,0.348946452,0.022599706
12080008,p61,0.651053548,0.017933624
12090101,p61,0.942261623,0.021785928
12090102,p61,1,0.026697197
12090109,p64,0.400584989,0.032862722
12090109,p61,0.288924798,0.013252273
12090109,p63,0.310490214,0.013053464
13050003,p59,0.01341483,0.08979743
13050004,p47,0.018771433,0.006944497
13050004,p31,0.279401318,0.022092086
13050004,p61,0.701827249,0.111044662
17040217,p15,0.995442635,0.01765602
17040218,p16,0.036001027,0.004103196
17040218,p15,0.963998973,0.043534591
17040219,p15,1,0.026393309
17040220,p15,1,0.012647594
17060108,p3,0.773420262,0.085481705
17060303,p15,0.999866677,0.021744401
17060303,p17,0.000133323,4.23E-06
17060304,p15,1,0.004019104
17060305,p15,1,0.021691845
17060306,p15,0.360476441,0.01563164
18010207,p8,0.999908217,0.051990705
18010208,p9,0.000188421,2.08E-06
18070103,p10,1,0.005805885
18070104,p10,0.999999999,0.006745927
18070105,p10,1,0.012783673
18070106,p10,0.999999999,0.01302195
18070107,p10,0.993642116,0.002377424
11090102,p31,0.604812119,0.00905881
11090103,p48,0.605718657,0.019062563
11100102,p52,0.020426513,0.001346493
11100102,p49,0.976506493,0.231945137
11130104,p60,0.823842111,0.053003097
11130105,p50,1.22E-05,1.87E-07
12060102,p63,0.135495685,0.006937939
12060103,p60,0.936161198,0.046855121
12060104,p63,1,0.011497622
12060105,p61,0.268591445,0.006896699
12090103,p62,0.682345488,0.172014237
2030101,p127,0.931806923,0.01465108
2030101,p126,0.039609086,0.003914305
2030101,p132,0.028583991,0.00428362
2030102,p127,0.994568861,0.003582546
2030103,p127,0.185791564,0.004439122
2030202,p128,0.908477163,0.815376037
2040101,p122,0.245057495,0.008619547
2040101,p127,0.754942505,0.018952981
2040102,p127,1,0.017721927
2040103,p122,1,0.017666229
2040104,p122,0.484803696,0.021911089
2040104,p127,0.430040693,0.013872502
2040104,p126,0.08515561,0.017265318
2040105,p122,0.347654024,0.013962511
2050304,p122,0.908574273,0.038935584
2050305,p120,0.073190244,0.113453547
2050305,p122,0.926809756,0.05138724
2050306,p122,0.88674144,0.065123758
2050306,p123,0.11325856,0.03589084
2060001,p123,0.999999988,8.87E-06
2060002,p122,0.057428422,0.001859358
2060002,p123,0.872378991,0.121874143
2060002,p125,0.070192583,0.038221722
2060003,p123,0.991402248,0.165240101
3040105,p97,0.9993894,0.071722095
4150303,p127,1,0.011862018
4150304,p127,1,0.013347764
4150305,p127,1,0.026562697
4150306,p127,1,0.018013049
4150307,p127,1,0.008553026
4150308,p127,0.999999999,0.008677315
