huc_4,n,huc_pca_ratio,pca_huc_ratio
1207,p64,0.346927806,0.192594848
1207,p67,0.04442022,0.153198517
1207,p63,0.607599316,0.172858941
1502,p28,0.575857306,0.197749659
1502,p31,0.196406141,0.05304691
1502,p29,0.227736553,0.549261399
1802,p7,0.025875223,0.022765539
506,p109,2.07E-07,6.51E-08
506,p112,0.850052095,0.201479658
506,p113,0.149947698,0.28677288
512,p81,0.052950058,0.065778043
1003,p18,0.913009967,0.35192509
1003,p20,0.008869233,0.007239445
1003,p17,0.0781208,0.041689744
1027,p40,0.470149696,0.141335941
1027,p53,0.52191978,0.129088342
1209,p61,0.327857204,0.184593246
1209,p67,0.020317539,0.127108258
1209,p63,0.135620553,0.069988857
106,p134,0.594298769,0.076253479
106,p130,0.403756263,0.181562878
703,p46,0.544302098,0.20957281
703,p43,0.455697902,0.073821476
704,p76,0.011540232,0.012528785
1024,p40,0.006483312,0.001737275
1024,p53,0.108942756,0.024017996
1024,p54,0.270370622,0.223957482
1024,p41,0.19816507,0.384675417
1024,p70,0.111202866,0.055898741
1024,p45,0.304835373,0.190995864
603,p90,0.004861484,0.001698485
603,p88,0.036997866,0.030243854
603,p92,0.308442554,0.075855606
307,p94,0.932867081,0.324983311
307,p101,0.067132919,0.033811562
1025,p34,0.102280854,0.045077325
1025,p40,0.277175154,0.135997985
1025,p53,0.111732734,0.045105075
1025,p33,0.211400954,0.110713361
1025,p52,0.191249973,0.231662833
1025,p39,0.106160331,0.135123726
1108,p47,0.129296884,0.075326478
1108,p31,0.865973192,0.107827352
1503,p10,0.223091227,0.058872088
1503,p28,0.431649626,0.093960956
1503,p13,0.05225211,0.110769714
1114,p58,0.219768786,0.152455052
1114,p86,0.009502008,0.038204933
1114,p63,0.165576499,0.083828261
1201,p57,0.163795397,0.278217495
1201,p58,0.243426267,0.060125657
316,p90,0.178769181,0.129157782
316,p88,0.271309815,0.458628466
316,p87,0.012077372,0.00739862
316,p89,0.537843632,0.524195945
711,p81,0.188311137,0.071561731
711,p71,0.471725125,0.825723051
711,p72,0.29861349,0.195076156
711,p70,0.041350248,0.015402036
1404,p24,0.038956836,0.025611258
1404,p33,0.038270996,0.016699565
1404,p26,0.0648438,0.101454861
1404,p21,0.857928368,0.359984621
1403,p34,0.427092534,0.063195371
1403,p33,0.09581665,0.016847427
1403,p25,0.477090816,0.055707838
1601,p16,0.361911037,0.126329804
1601,p25,0.255111713,0.026763427
1601,p26,0.183860066,0.104146601
1601,p21,0.199117184,0.03024788
1105,p53,0.006294379,0.000718347
1105,p50,0.965550146,0.129761226
1105,p51,0.028155475,0.016824216
403,p76,0.309108987,0.583410295
403,p79,0.024292215,0.119923354
403,p103,0.004678631,0.002022782
403,p74,0.300236524,0.467705541
403,p75,0.361683643,0.54565492
1401,p34,0.010855408,0.00188936
310,p101,0.999999999,0.221085788
1808,p12,0.186103746,0.008267069
1808,p9,0.014484852,0.000895891
1808,p8,0.799411402,0.23828409
1407,p28,0.132908742,0.02296744
1407,p25,0.867091258,0.164821114
304,p118,0.006411188,0.009849339
304,p95,0.01047979,0.024208366
304,p97,0.345338603,0.32336239
304,p96,0.41295812,0.332810812
304,p98,0.224812299,0.14037663
1602,p12,0.133135158,0.037269748
1602,p16,0.024853825,0.033117446
1602,p25,0.764745326,0.306258231
1602,p26,0.077008388,0.166515755
1104,p49,0.096028882,0.202262682
803,p85,0.013521841,0.004888844
803,p88,0.260178166,0.288330084
1029,p55,0.376131929,0.4891771
1503,p27,0.293007037,0.373025157
1017,p40,0.120315965,0.034763873
1017,p38,0.686735601,0.1482496
1017,p44,0.099559267,0.19071291
1210,p64,0.464401263,0.2825852
1210,p65,0.535598736,0.226962893
1029,p73,0.051555853,0.183918886
1029,p53,0.231091722,0.069696163
1104,p31,0.082579467,0.009909728
1104,p52,0.244415176,0.14287028
1022,p40,0.846169925,0.116679146
803,p92,3.07E-05,1.02E-05
803,p86,0.010042409,0.020516794
803,p87,0.716226874,0.287642135
1803,p10,0.632544664,0.159748564
1803,p9,0.367455336,0.081953162
1112,p47,0.04518378,0.031483297
1112,p48,0.603104701,0.258719366
1112,p50,0.236805762,0.067415153
1112,p60,0.114905758,0.080511176
809,p58,0.999999998,0.180714843
1205,p47,0.186980484,0.126640092
1205,p48,0.548694902,0.228793903
1707,p7,0.010045186,0.00950495
1707,p5,0.782848348,0.503896176
1506,p28,0.925674081,0.157768639
1506,p29,0.074325919,0.088970972
1606,p12,0.925229581,0.430911159
1606,p10,0.024203302,0.017772232
1606,p13,0.050567117,0.298281156
1306,p47,0.470372003,0.516963492
1306,p31,0.526596125,0.12369751
1306,p61,0.003031872,0.001425126
713,p81,0.496970403,0.335280861
713,p80,0.089144281,0.126102958
713,p83,0.205692478,0.274054836
713,p82,0.208192839,1
1804,p10,0.000119693,2.91E-05
1804,p9,0.999880307,0.214997412
312,p94,0.35220772,0.021806664
312,p101,0.64779228,0.057984851
709,p76,0.115282523,0.1269693
709,p81,0.089572437,0.036862476
709,p79,0.110096852,0.317164334
709,p80,0.3979893,0.343427496
709,p77,0.073865771,0.109751605
709,p78,0.213193118,0.913091382
801,p85,0.013066202,0.003723072
801,p81,5.09E-07,2.12E-07
801,p88,0.08991532,0.078529802
801,p92,0.758002334,0.199170165
801,p84,0.011534711,0.010168933
801,p72,0.003339432,0.002396285
801,p93,0.117429477,0.131999316
801,p87,0.006712015,0.002124401
1709,p6,0.008709528,0.005395679
1709,p2,0.018334857,0.008533412
1709,p5,0.972955615,0.245118032
302,p98,0.999999999,0.390878682
407,p103,1,0.161003068
1308,p64,0.027954328,0.004943828
1308,p65,0.753187553,0.092763407
1308,p61,0.218858118,0.021640816
708,p69,0.184454674,0.564700744
708,p81,0.091668484,0.079253742
512,p83,0.210609448,0.516693718
512,p105,0.384768212,0.654534169
512,p112,0.010046702,0.012050348
512,p107,0.316892282,0.652552754
1022,p41,0.153830075,0.153664181
1708,p2,0.778654055,0.180329824
1708,p1,0.010756544,0.00374266
1708,p5,0.210589401,0.026399551
1017,p45,0.093389166,0.06309405
1706,p15,0.629025581,0.405732539
1706,p2,0.06022847,0.083931657
1706,p7,0.000214543,0.000237905
1706,p5,0.139148772,0.104964001
1706,p3,0.102627252,0.171065444
1706,p14,0.068711268,0.312344662
1706,p17,4.41E-05,4.15E-05
203,p128,0.246374414,0.999999995
203,p127,0.255908882,0.026311294
203,p126,0.491382144,0.317535514
203,p132,0.006329503,0.006202558
1201,p66,0.274724935,0.201388774
1201,p63,0.318053401,0.057333491
1303,p31,0.991038037,0.110194941
1303,p59,0.008961963,0.09956956
705,p46,0.953782864,0.453731876
705,p75,0.044793424,0.034451686
1402,p34,0.905173204,0.128542382
1402,p33,0.094826796,0.016002028
602,p92,0.586420129,0.071809993
602,p94,0.278400191,0.024421378
1109,p51,0.00356949,0.005139413
1109,p31,0.121527666,0.020586282
1109,p49,0.000178246,0.000529964
1705,p12,0.099687999,0.035982617
1705,p16,0.001863924,0.003202418
1705,p15,0.519674921,0.353779031
1705,p7,0.359370628,0.420591809
1705,p5,0.019402528,0.015447141
303,p97,0.130729729,0.060477831
303,p98,0.869270271,0.268168054
110,p127,0.061162824,0.005858989
1401,p33,0.986682049,0.204068122
1401,p25,0.002460175,0.000337899
1304,p61,0.931665207,0.34285571
1304,p59,0.044113725,0.810621595
311,p94,0.428604283,0.098244662
311,p101,0.571395717,0.189355466
318,p88,0.133637924,0.091536328
318,p58,0.103625491,0.022576395
502,p116,0.571822578,0.245694599
1104,p34,0.252019265,0.053598949
601,p95,3.26E-06,7.05E-06
601,p92,0.536643304,0.220201437
601,p110,1.69E-06,6.73E-06
1801,p8,0.252871559,0.412734854
404,p80,0.049750573,0.007806299
404,p104,0.081548002,0.057545661
1501,p12,0.221370267,0.065395336
1501,p28,0.226456839,0.08700239
1026,p53,0.560611559,0.180883258
1026,p52,0.390466443,0.37803328
1712,p6,0.009983623,0.009210677
1712,p7,0.916594073,0.505521529
1712,p5,0.030363114,0.011391489
401,p46,0.315311945,0.143089934
401,p74,0.010748623,0.008143061
1307,p61,0.69035836,0.284463083
108,p131,0.244159755,0.335201419
1209,p65,0.047450717,0.033276409
1405,p24,0.114707046,0.048174967
1102,p33,0.039507185,0.020701474
1109,p47,0.036119201,0.028627011
1018,p33,0.064877877,0.042378627
1605,p12,0.828903853,0.102569372
202,p126,0.016458426,0.027629317
202,p131,0.016079807,0.025087089
1710,p5,0.187850917,0.092783609
1207,p61,0.001052658,0.00032673
1104,p53,0.305910317,0.059593358
1104,p50,0.019046893,0.004369347
1205,p60,0.264324614,0.180023533
804,p85,0.551391297,0.290928813
804,p56,0.087628086,0.125507579
804,p58,0.231956435,0.119318073
804,p86,0.129024182,0.384679617
604,p88,0.004611417,0.002942195
604,p92,0.866743962,0.166372221
604,p93,0.128644621,0.10563855
1807,p10,0.731824247,0.125263543
1807,p9,0.001175845,0.000177739
1807,p11,0.266999908,0.701063626
514,p81,0.190671518,0.090564995
514,p108,0.179143151,0.407183011
514,p109,0.310069815,0.189012214
514,p93,0.046616713,0.059625872
514,p107,0.273498802,0.21533738
1703,p2,0.686274474,0.167815293
1703,p1,0.313725526,0.115257214
1802,p9,0.794395267,0.300128092
1802,p8,0.179550876,0.326919834
1504,p28,0.477617803,0.092091175
1504,p31,0.516056157,0.078259782
1504,p29,0.00632604,0.008566726
1505,p28,0.626654452,0.134657249
1505,p30,0.373345548,0.614379634
1704,p12,0.043018963,0.015060031
1704,p18,1.66E-05,1.16E-05
1704,p16,0.502418442,0.837204192
1704,p15,0.301123164,0.198820221
1704,p25,0.010728012,0.005372698
1704,p21,0.142677015,0.103467045
1704,p17,1.78E-05,1.71E-05
805,p85,0.253680113,0.034579265
805,p58,0.046904937,0.006233341
805,p86,0.69941495,0.538722953
712,p79,0.097074833,0.279985241
712,p80,0.509866998,0.440493607
712,p83,0.110876162,0.090221109
1102,p31,0.005129275,0.001276201
1102,p52,0.000839078,0.001016926
309,p102,0.398432468,0.788652541
309,p101,0.601567532,0.240755064
1015,p40,0.527150997,0.148716661
1110,p53,0.000109142,3.18E-05
1110,p48,0.295116229,0.152363291
1110,p50,0.355758242,0.121890893
1110,p51,0.052174464,0.079483349
1110,p31,0.041883927,0.007506906
1110,p52,0.001542292,0.001346493
1110,p49,0.253415704,0.797207354
1013,p37,0.086565725,0.085863607
1013,p32,0.019374117,0.078446371
1013,p36,0.471249459,0.524735327
1013,p38,0.422810699,0.230741402
1016,p37,0.239609198,0.13545259
1016,p36,0.067561201,0.04287533
1016,p38,0.6928296,0.215489772
1203,p64,0.030363923,0.019427929
1203,p66,0.114098669,0.152141275
1203,p63,0.855537408,0.280528279
109,p132,0.013375598,0.011517304
109,p131,0.749176638,0.395349485
109,p133,0.237447762,0.93423861
502,p122,0.070686693,0.015404617
502,p115,0.300914457,0.37486672
502,p121,0.056576272,0.187931561
1802,p6,0.000178634,0.000262905
1801,p6,0.211043282,0.278434839
1801,p7,0.019906124,0.015699939
102,p134,1,0.264668102
504,p111,0.107157626,0.10601451
504,p112,0.892842374,0.261591432
317,p90,0.074939937,0.028323157
317,p88,0.013613304,0.012038141
317,p87,0.909147381,0.291348634
317,p89,0.002299378,0.001172326
806,p88,0.067617244,0.037751129
806,p58,0.013260864,0.002354879
806,p86,0.017367534,0.017875703
806,p87,0.901754359,0.182449852
1301,p34,0.960002454,0.129281843
1301,p31,0.039997546,0.003039245
1211,p64,0.066548256,0.064751873
1211,p65,0.911030048,0.617316172
1211,p61,0.022421696,0.012197781
508,p105,0.021696892,0.00601081
508,p114,0.12007474,0.28730808
508,p112,0.320690786,0.062641894
508,p107,0.243875256,0.081785071
508,p113,0.293662326,0.462848911
204,p122,0.415643555,0.191048154
204,p123,0.01244696,0.024686257
1108,p34,0.004286998,0.000946042
1015,p24,0.038425201,0.017432814
1015,p38,0.122003774,0.025715616
1015,p39,0.312420028,0.228641275
103,p134,1,0.181500444
104,p134,0.795082501,0.086349281
104,p130,0.204917499,0.077997114
205,p120,0.011094221,0.251999471
205,p119,0.122083724,0.77674445
205,p122,0.628730807,0.510819395
205,p123,0.010237899,0.03589084
205,p127,0.227853349,0.132131159
601,p118,0.181138942,0.260225701
511,p93,0.28861355,0.270540721
1801,p9,0.516179035,0.174818657
204,p99,0.000399041,0.000243682
204,p125,0.083525297,0.645687854
204,p127,0.154074202,0.05054741
204,p124,0.016335485,0.43384856
204,p126,0.317575458,0.654835169
807,p58,0.817105492,0.119303834
807,p87,0.182894508,0.030425343
411,p122,0.003197568,0.000287907
411,p111,0.986797662,0.369596668
411,p112,0.01000477,0.00110972
1408,p34,0.23237756,0.102489557
1408,p28,0.044533447,0.01409077
1408,p31,0.391134888,0.097337261
1408,p29,0.158938068,0.353200902
1408,p25,0.173016036,0.060217642
902,p37,0.534344719,0.559649093
902,p42,0.36618094,0.695562924
902,p36,0.000183508,0.000215762
902,p38,0.01420402,0.008185062
902,p43,0.085086812,0.069921275
511,p92,0.044577698,0.00976771
511,p108,0.329918031,0.549564067
511,p109,0.336890721,0.150501998
1806,p10,0.02572749,0.004488776
1806,p9,0.97427251,0.150115767
1707,p6,0.027236149,0.043110032
1707,p2,0.179870317,0.213887741
708,p68,0.042064365,0.114730461
708,p80,0.007547029,0.01368136
708,p71,7.20E-10,2.87E-09
708,p70,0.56867149,0.481899383
708,p45,0.102253535,0.108005483
1011,p35,0.19926923,0.142694232
1011,p38,0.035042545,0.008887345
1011,p23,0.041985998,0.071844579
1114,p57,0.15130044,0.721782505
601,p94,0.00276242,0.000811986
601,p109,2.34E-05,1.96E-05
1605,p10,0.071966477,0.014040188
1605,p9,0.09912967,0.017078972
1603,p12,0.006566475,0.001055747
1603,p25,0.993433525,0.228493348
404,p76,0.071252451,0.01426982
404,p79,0.539531697,0.282624521
1406,p25,0.50797828,0.103231969
1406,p26,0.48676735,0.534117574
512,p106,0.024450409,1
1501,p25,0.115192782,0.048681056
1501,p13,0.157944031,0.59094913
1501,p27,0.279036081,0.626974843
708,p43,0.003340422,0.001607745
401,p43,0.673939432,0.128676812
1208,p62,0.247366773,0.372459368
1208,p47,0.169700782,0.127437283
1208,p48,0.245054357,0.113295764
1208,p60,0.275906519,0.20834897
1208,p61,0.061971569,0.01990349
1810,p10,0.921001251,0.227190593
1810,p11,0.078998749,0.298936373
306,p95,0.142568441,0.294270134
306,p94,0.690702686,0.1939949
306,p97,0.010381309,0.008685731
306,p96,0.156347564,0.112588085
315,p90,0.601033066,0.460712192
315,p92,0.00564015,0.003043284
315,p94,0.232263485,0.089775413
315,p89,0.161063299,0.166547312
1406,p33,0.00525437,0.00160793
706,p69,0.378951226,0.434673567
706,p68,0.046638278,0.047660449
706,p80,0.099666188,0.067694338
706,p46,0.008007263,0.003431946
706,p77,0.1898861,0.222076015
706,p70,0.276850944,0.087900661
107,p130,0.759476373,0.41017135
107,p131,0.240523627,0.148236565
1005,p18,0.767329436,0.223078337
1005,p19,0.232670564,0.351679106
1701,p18,0.019062067,0.013429385
1701,p15,0.062345777,0.041648491
1701,p3,0.098449886,0.169955611
