i,n,r,rnew,rto,censusregions,st,in,country,custreg
1,p2,nr11,nr1new,rto1,PA,WA,WSCC,USA,Pacific
2,p1,nr11,nr1new,rto1,PA,WA,WSCC,USA,Pacific
3,p1,nr11,nr1new,rto1,PA,WA,WSCC,USA,Pacific
4,p1,nr11,nr1new,rto1,PA,WA,WSCC,USA,Pacific
5,p2,nr11,nr1new,rto1,PA,WA,WSCC,USA,Pacific
6,p3,nr11,nr1new,rto1,PA,WA,WSCC,USA,Pacific
7,p4,nr11,nr1new,rto1,PA,WA,WSCC,USA,Pacific
8,p3,nr11,nr1new,rto1,PA,WA,WSCC,USA,Pacific
9,p2,nr11,nr1new,rto1,PA,WA,WSCC,USA,Pacific
10,p5,nr11,nr1new,rto1,PA,OR,WSCC,USA,Pacific
11,p5,nr11,nr1new,rto1,PA,OR,WSCC,USA,Pacific
12,p5,nr11,nr1new,rto1,PA,OR,WSCC,USA,Pacific
14,p6,nr11,nr1new,rto1,PA,OR,WSCC,USA,Pacific
15,p6,nr11,nr1new,rto1,PA,OR,WSCC,USA,Pacific
16,p5,nr11,nr1new,rto1,PA,OR,WSCC,USA,Pacific
17,p5,nr11,nr1new,rto1,PA,OR,WSCC,USA,Pacific
18,p7,nr11,nr1new,rto1,PA,OR,WSCC,USA,Pacific
19,p7,nr11,nr1new,rto1,PA,OR,WSCC,USA,Pacific
20,p9,nr13,nr4new,rto4,PA,CA,WSCC,USA,Pacific
