huc_2,n,huc_pca_ratio,pca_huc_ratio
8,p73,0.006815659,0.132105683
8,p56,0.017768545,0.125507579
7,p81,0.117810394,0.84365675
7,p79,0.011912465,0.597149575
7,p42,0.00656409,0.060487625
7,p73,0.013799315,0.502471145
7,p68,0.043183846,0.975591854
7,p84,0.003233529,0.048904815
7,p80,0.06602571,0.99139976
7,p46,0.090375956,0.856328746
7,p83,0.034174285,0.483306282
7,p77,0.038677669,1
7,p38,0.008844047,0.024723675
7,p74,0.000224356,0.003548878
6,p88,0.010285794,0.033186049
6,p95,1.38E-06,7.05E-06
6,p92,0.550383179,0.534239258
6,p110,7.15E-07,6.73E-06
6,p94,0.036592355,0.025444014
6,p109,9.91E-06,1.96E-05
11,p48,0.092265453,0.657910332
11,p50,0.21132135,1
11,p33,0.003970866,0.020701474
11,p57,0.016871223,0.721782505
11,p51,0.04752712,1
11,p31,0.059426189,0.147106469
11,p52,0.032368675,0.390303887
11,p58,0.024505997,0.152455052
11,p86,0.001059551,0.038204933
11,p49,0.023015578,1
11,p60,0.034819742,0.405537746
11,p63,0.032798554,0.148915566
10,p37,0.019846187,0.270964328
5,p121,0.002561492,0.187931561
5,p108,0.034026629,1
5,p109,0.126873077,0.999980387
5,p127,0.011808358,0.040568713
5,p117,0.043349721,0.999997862
5,p111,0.016631116,0.33299878
5,p105,0.078544828,0.660544979
5,p93,0.046097417,0.762362134
5,p97,0.0046273,0.038172558
3,p102,0.03059238,0.998833978
3,p101,0.151393107,0.99941577
3,p58,0.003350088,0.022576395
3,p91,0.028649488,0.999898628
3,p97,0.050326854,0.684552208
3,p96,0.085417364,1
3,p87,0.063567088,0.488077992
3,p89,0.056641776,0.691915583
3,p98,0.110245999,0.999999999
8,p85,0.24507958,0.637713219
8,p81,5.57E-08,2.12E-07
8,p88,0.050730678,0.404611015
10,p34,0.009687221,0.087485727
10,p32,0.017942262,1
10,p18,0.098241181,0.97346567
11,p34,0.110048627,0.48280458
11,p73,0.00381852,0.181504285
11,p56,0.0504847,0.874492421
11,p53,0.136527213,0.548639635
11,p55,0.029146151,0.505068868
11,p84,0.021556054,0.425581121
11,p47,0.011693584,0.135436786
10,p73,0.001879677,0.183918886
10,p40,0.099459812,1
10,p53,0.054563754,0.451360365
10,p24,0.057283839,0.926213775
10,p55,0.013874718,0.494931132
10,p68,0.000402067,0.024408146
10,p84,0.006758144,0.274657704
10,p16,6.16E-06,0.00014614
10,p54,0.0321746,1
10,p36,0.060536285,0.927848519
10,p15,2.10E-06,1.97E-05
10,p33,0.048560275,0.521132806
10,p19,0.019410796,1
17,p21,0.018669165,0.103467045
17,p5,0.16945915,1
17,p3,0.076687828,1
17,p14,0.028120296,1
17,p17,0.089247413,0.657541067
16,p12,0.6083798,0.841401337
16,p10,0.014589458,0.03181242
16,p9,0.008869289,0.017078972
16,p8,0.001430519,0.013275485
16,p16,0.024220813,0.15944725
16,p7,0.005726246,0.025678328
16,p25,0.283808709,0.561515007
16,p26,0.025336455,0.270662356
16,p13,0.017028564,0.298281156
16,p21,0.010610148,0.030397088
3,p90,0.11024051,0.998269416
3,p118,0.010813748,0.241327731
3,p88,0.026534993,0.562202936
3,p95,0.029800368,0.999992953
3,p92,0.000477436,0.003043284
3,p99,0.028518978,0.300714646
3,p94,0.213429823,0.974555986
5,p114,0.013767481,1
5,p112,0.130435614,0.773435171
5,p107,0.098230052,1
5,p113,0.020900644,1
10,p35,0.047147512,1
10,p52,0.024563161,0.609696113
10,p38,0.128740747,0.967091264
10,p71,0.00184588,0.163612224
10,p72,0.014959996,0.494872195
10,p41,0.013729411,1
4,p104,0.022371104,0.997427792
4,p127,0.187377541,0.495611518
4,p111,0.043228566,0.666368129
4,p105,0.027880741,0.180514156
4,p75,0.054790344,0.554171567
4,p43,0.048906268,0.128726824
4,p112,0.049629809,0.226564829
5,p81,0.025457302,0.156343038
5,p118,0.024964917,0.337892039
5,p119,0.005333829,0.201053381
5,p122,0.05418844,0.260832174
5,p92,0.068170704,0.263537054
5,p115,0.036343344,1
5,p110,0.026660974,0.99999327
5,p99,1.68E-06,1.07E-05
5,p83,0.042601627,0.516693718
5,p116,0.083420453,0.791677193
9,p37,0.455589841,0.728968842
9,p42,0.323758489,0.939512375
9,p18,0.011275197,0.01309336
9,p36,0.040168354,0.072151481
9,p38,0.009297595,0.008185062
9,p43,0.159906664,0.200749422
9,p17,3.86E-06,6.21E-06
13,p34,0.057140082,0.133593024
18,p12,0.022493783,0.035260045
18,p10,0.367929896,0.909315447
18,p9,0.449877551,0.981881792
18,p8,0.092974327,0.977938778
18,p6,0.032779622,0.278697745
18,p7,0.007568022,0.038465478
18,p11,0.026376799,1
2,p118,0.019787333,0.160554528
2,p129,0.004648393,0.047223113
2,p120,0.012395323,1
2,p119,0.034373079,0.77674445
2,p122,0.25092896,0.724090355
2,p123,0.080313376,0.999999997
2,p99,0.182399153,0.699274607
2,p125,0.020605124,0.999999999
2,p121,0.01846284,0.812068439
2,p128,0.012298816,0.999999995
2,p127,0.222282717,0.457820106
2,p124,0.005997547,0.999999994
2,p126,0.077249336,0.999999999
2,p132,0.000315964,0.006202558
